d,popt,gdppc,t,tau,exports,expart_rate,mktpen_rate,trade_elasticity
AGO,0.0516596176693987,0.0259715576378436,0,0.8193884302417342,1.4853181077154118,0.0242928896316008,0.4666533904628217,0.0000000000000000
AGO,0.0516596176693987,0.0259715576378436,1,0.7374495872175608,2.2638593319850804,0.0242928896316008,0.4666533904628217,3.9999999999999964
AGO,0.0516596176693987,0.0259715576378436,2,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,3,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,4,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,5,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,6,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,7,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,8,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,9,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,10,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,11,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,12,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,13,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,14,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,15,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,16,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,17,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,18,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,19,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,20,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,21,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,22,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,23,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,24,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,25,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,26,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,27,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,28,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
AGO,0.0516596176693987,0.0259715576378436,29,0.7374495872175608,2.5215384701489225,0.0301004035825528,0.4950837266001207,5.0231365393445300
