d,popt,gdppc,t,tau,exports,expart_rate,mktpen_rate,trade_elasticity
AGO,0.0516596176693987,0.0259715576378436,0,0.8193884302417342,3.0332611954452249,0.0214377899977048,0.6611731849417538,0.0000000000000000
AGO,0.0516596176693987,0.0259715576378436,1,0.7374495872175608,4.6231690221692165,0.0214377899977048,0.6611731849417538,3.9999999999999947
AGO,0.0516596176693987,0.0259715576378436,2,0.7374495872175608,4.8456984040247253,0.0266717091910153,0.6830095446740754,4.4461916175745078
AGO,0.0516596176693987,0.0259715576378436,3,0.7374495872175608,4.9287074569561078,0.0269768940333441,0.6943130073025680,4.6074037193327673
AGO,0.0516596176693987,0.0259715576378436,4,0.7374495872175608,4.9583807964983517,0.0270513182830252,0.6984020839786319,4.6643744025159597
AGO,0.0516596176693987,0.0259715576378436,5,0.7374495872175608,4.9685310977185830,0.0270697303149026,0.6998096838898430,4.6837840220626061
AGO,0.0516596176693987,0.0259715576378436,6,0.7374495872175608,4.9719116400925900,0.0270748750635429,0.7002797128435752,4.6902395651040969
AGO,0.0516596176693987,0.0259715576378436,7,0.7374495872175608,4.9730225061321383,0.0270763860218362,0.7004344128751478,4.6923599362633253
AGO,0.0516596176693987,0.0259715576378436,8,0.7374495872175608,4.9733855577428567,0.0270768445075365,0.7004850079272200,4.6930528101655593
AGO,0.0516596176693987,0.0259715576378436,9,0.7374495872175608,4.9735039481455345,0.0270769863396743,0.7005015167976977,4.6932787440204127
AGO,0.0516596176693987,0.0259715576378436,10,0.7374495872175608,4.9735425343293853,0.0270770309800467,0.7005069001592444,4.6933523799527546
AGO,0.0516596176693987,0.0259715576378436,11,0.7374495872175608,4.9735551155381277,0.0270770451216319,0.7005086560442431,4.6933763891751701
AGO,0.0516596176693987,0.0259715576378436,12,0.7374495872175608,4.9735592200743506,0.0270770496450684,0.7005092289987984,4.6933842220122051
AGO,0.0516596176693987,0.0259715576378436,13,0.7374495872175608,4.9735605598845636,0.0270770510999436,0.7005094160500264,4.6933867788197814
AGO,0.0516596176693987,0.0259715576378436,14,0.7374495872175608,4.9735609974436272,0.0270770515698010,0.7005094771442142,4.6933876138291861
AGO,0.0516596176693987,0.0259715576378436,15,0.7374495872175608,4.9735611404023548,0.0270770517220131,0.7005094971064157,4.6933878866423564
AGO,0.0516596176693987,0.0259715576378436,16,0.7374495872175608,4.9735611871254894,0.0270770517714382,0.7005095036310379,4.6933879758057566
AGO,0.0516596176693987,0.0259715576378436,17,0.7374495872175608,4.9735612024000915,0.0270770517875161,0.7005095057641424,4.6933880049548158
AGO,0.0516596176693987,0.0259715576378436,18,0.7374495872175608,4.9735612073947095,0.0270770517927534,0.7005095064616643,4.6933880144862217
AGO,0.0516596176693987,0.0259715576378436,19,0.7374495872175608,4.9735612090281993,0.0270770517944613,0.7005095066897874,4.6933880176034668
AGO,0.0516596176693987,0.0259715576378436,20,0.7374495872175608,4.9735612095625159,0.0270770517950188,0.7005095067644049,4.6933880186231223
AGO,0.0516596176693987,0.0259715576378436,21,0.7374495872175608,4.9735612097373352,0.0270770517952007,0.7005095067888133,4.6933880189567354
AGO,0.0516596176693987,0.0259715576378436,22,0.7374495872175608,4.9735612097945197,0.0270770517952603,0.7005095067968008,4.6933880190658623
AGO,0.0516596176693987,0.0259715576378436,23,0.7374495872175608,4.9735612098132282,0.0270770517952797,0.7005095067994119,4.6933880191015653
AGO,0.0516596176693987,0.0259715576378436,24,0.7374495872175608,4.9735612098193345,0.0270770517952860,0.7005095068002681,4.6933880191132182
AGO,0.0516596176693987,0.0259715576378436,25,0.7374495872175608,4.9735612098213062,0.0270770517952880,0.7005095068005464,4.6933880191169814
AGO,0.0516596176693987,0.0259715576378436,26,0.7374495872175608,4.9735612098219235,0.0270770517952886,0.7005095068006402,4.6933880191181592
AGO,0.0516596176693987,0.0259715576378436,27,0.7374495872175608,4.9735612098220940,0.0270770517952890,0.7005095068006669,4.6933880191184842
AGO,0.0516596176693987,0.0259715576378436,28,0.7374495872175608,4.9735612098221216,0.0270770517952892,0.7005095068006771,4.6933880191185366
AGO,0.0516596176693987,0.0259715576378436,29,0.7374495872175608,4.9735612098221056,0.0270770517952892,0.7005095068006805,4.6933880191185064
AGO,0.0516596176693987,0.0259715576378436,30,0.7374495872175608,4.9735612098220585,0.0270770517952892,0.7005095068006798,4.6933880191184159
AGO,0.0516596176693987,0.0259715576378436,31,0.7374495872175608,4.9735612098220114,0.0270770517952892,0.7005095068006802,4.6933880191183279
AGO,0.0516596176693987,0.0259715576378436,32,0.7374495872175608,4.9735612098219670,0.0270770517952892,0.7005095068006795,4.6933880191182427
AGO,0.0516596176693987,0.0259715576378436,33,0.7374495872175608,4.9735612098219200,0.0270770517952892,0.7005095068006781,4.6933880191181530
AGO,0.0516596176693987,0.0259715576378436,34,0.7374495872175608,4.9735612098218693,0.0270770517952892,0.7005095068006768,4.6933880191180561
AGO,0.0516596176693987,0.0259715576378436,35,0.7374495872175608,4.9735612098218178,0.0270770517952892,0.7005095068006766,4.6933880191179576
AGO,0.0516596176693987,0.0259715576378436,36,0.7374495872175608,4.9735612098217734,0.0270770517952892,0.7005095068006734,4.6933880191178723
AGO,0.0516596176693987,0.0259715576378436,37,0.7374495872175608,4.9735612098217192,0.0270770517952892,0.7005095068006716,4.6933880191177693
AGO,0.0516596176693987,0.0259715576378436,38,0.7374495872175608,4.9735612098216668,0.0270770517952892,0.7005095068006716,4.6933880191176689
AGO,0.0516596176693987,0.0259715576378436,39,0.7374495872175608,4.9735612098216126,0.0270770517952892,0.7005095068006723,4.6933880191175650
AGO,0.0516596176693987,0.0259715576378436,40,0.7374495872175608,4.9735612098215576,0.0270770517952892,0.7005095068006715,4.6933880191174611
AGO,0.0516596176693987,0.0259715576378436,41,0.7374495872175608,4.9735612098215141,0.0270770517952892,0.7005095068006677,4.6933880191173776
AGO,0.0516596176693987,0.0259715576378436,42,0.7374495872175608,4.9735612098214670,0.0270770517952892,0.7005095068006676,4.6933880191172879
AGO,0.0516596176693987,0.0259715576378436,43,0.7374495872175608,4.9735612098214101,0.0270770517952892,0.7005095068006654,4.6933880191171795
AGO,0.0516596176693987,0.0259715576378436,44,0.7374495872175608,4.9735612098213595,0.0270770517952892,0.7005095068006658,4.6933880191170827
AGO,0.0516596176693987,0.0259715576378436,45,0.7374495872175608,4.9735612098213124,0.0270770517952892,0.7005095068006656,4.6933880191169930
AGO,0.0516596176693987,0.0259715576378436,46,0.7374495872175608,4.9735612098212671,0.0270770517952892,0.7005095068006653,4.6933880191169060
AGO,0.0516596176693987,0.0259715576378436,47,0.7374495872175608,4.9735612098212227,0.0270770517952892,0.7005095068006620,4.6933880191168225
AGO,0.0516596176693987,0.0259715576378436,48,0.7374495872175608,4.9735612098211766,0.0270770517952891,0.7005095068006597,4.6933880191167336
AGO,0.0516596176693987,0.0259715576378436,49,0.7374495872175608,4.9735612098211215,0.0270770517952892,0.7005095068006569,4.6933880191166280
AGO,0.0516596176693987,0.0259715576378436,50,0.7374495872175608,4.9735612098210797,0.0270770517952891,0.7005095068006565,4.6933880191165480
AGO,0.0516596176693987,0.0259715576378436,51,0.7374495872175608,4.9735612098210265,0.0270770517952891,0.7005095068006540,4.6933880191164468
AGO,0.0516596176693987,0.0259715576378436,52,0.7374495872175608,4.9735612098209732,0.0270770517952892,0.7005095068006549,4.6933880191163455
AGO,0.0516596176693987,0.0259715576378436,53,0.7374495872175608,4.9735612098209243,0.0270770517952892,0.7005095068006544,4.6933880191162514
AGO,0.0516596176693987,0.0259715576378436,54,0.7374495872175608,4.9735612098208772,0.0270770517952892,0.7005095068006533,4.6933880191161625
AGO,0.0516596176693987,0.0259715576378436,55,0.7374495872175608,4.9735612098208231,0.0270770517952891,0.7005095068006516,4.6933880191160586
AGO,0.0516596176693987,0.0259715576378436,56,0.7374495872175608,4.9735612098207760,0.0270770517952891,0.7005095068006517,4.6933880191159689
AGO,0.0516596176693987,0.0259715576378436,57,0.7374495872175608,4.9735612098207236,0.0270770517952891,0.7005095068006514,4.6933880191158686
AGO,0.0516596176693987,0.0259715576378436,58,0.7374495872175608,4.9735612098206712,0.0270770517952891,0.7005095068006497,4.6933880191157700
AGO,0.0516596176693987,0.0259715576378436,59,0.7374495872175608,4.9735612098206241,0.0270770517952891,0.7005095068006484,4.6933880191156794
AGO,0.0516596176693987,0.0259715576378436,60,0.7374495872175608,4.9735612098205797,0.0270770517952892,0.7005095068006487,4.6933880191155950
AGO,0.0516596176693987,0.0259715576378436,61,0.7374495872175608,4.9735612098205326,0.0270770517952892,0.7005095068006474,4.6933880191155044
AGO,0.0516596176693987,0.0259715576378436,62,0.7374495872175608,4.9735612098204864,0.0270770517952891,0.7005095068006449,4.6933880191154165
AGO,0.0516596176693987,0.0259715576378436,63,0.7374495872175608,4.9735612098204438,0.0270770517952892,0.7005095068006439,4.6933880191153348
AGO,0.0516596176693987,0.0259715576378436,64,0.7374495872175608,4.9735612098203950,0.0270770517952892,0.7005095068006424,4.6933880191152424
AGO,0.0516596176693987,0.0259715576378436,65,0.7374495872175608,4.9735612098203470,0.0270770517952892,0.7005095068006414,4.6933880191151500
AGO,0.0516596176693987,0.0259715576378436,66,0.7374495872175608,4.9735612098202964,0.0270770517952892,0.7005095068006392,4.6933880191150532
AGO,0.0516596176693987,0.0259715576378436,67,0.7374495872175608,4.9735612098202449,0.0270770517952892,0.7005095068006379,4.6933880191149564
AGO,0.0516596176693987,0.0259715576378436,68,0.7374495872175608,4.9735612098201987,0.0270770517952892,0.7005095068006378,4.6933880191148667
AGO,0.0516596176693987,0.0259715576378436,69,0.7374495872175608,4.9735612098201480,0.0270770517952892,0.7005095068006357,4.6933880191147708
AGO,0.0516596176693987,0.0259715576378436,70,0.7374495872175608,4.9735612098201001,0.0270770517952892,0.7005095068006351,4.6933880191146793
AGO,0.0516596176693987,0.0259715576378436,71,0.7374495872175608,4.9735612098200512,0.0270770517952893,0.7005095068006347,4.6933880191145860
AGO,0.0516596176693987,0.0259715576378436,72,0.7374495872175608,4.9735612098200086,0.0270770517952893,0.7005095068006338,4.6933880191145043
AGO,0.0516596176693987,0.0259715576378436,73,0.7374495872175608,4.9735612098199624,0.0270770517952893,0.7005095068006332,4.6933880191144164
AGO,0.0516596176693987,0.0259715576378436,74,0.7374495872175608,4.9735612098199153,0.0270770517952894,0.7005095068006323,4.6933880191143258
AGO,0.0516596176693987,0.0259715576378436,75,0.7374495872175608,4.9735612098198549,0.0270770517952894,0.7005095068006304,4.6933880191142121
AGO,0.0516596176693987,0.0259715576378436,76,0.7374495872175608,4.9735612098198025,0.0270770517952894,0.7005095068006287,4.6933880191141117
AGO,0.0516596176693987,0.0259715576378436,77,0.7374495872175608,4.9735612098197626,0.0270770517952894,0.7005095068006281,4.6933880191140354
AGO,0.0516596176693987,0.0259715576378436,78,0.7374495872175608,4.9735612098197199,0.0270770517952894,0.7005095068006264,4.6933880191139536
