d,popt,gdppc,t,tau,exports,expart_rate,trade_elasticity
AGO,0.0516596176693987,0.0259715576378436,0,0.8193884302417342,3.5330042652620754,0.0350259534485442,0.0000000000000000
AGO,0.0516596176693987,0.0259715576378436,1,0.7374495872175608,5.3848563713794748,0.0350259534485442,3.9999999999999947
AGO,0.0516596176693987,0.0259715576378436,2,0.7374495872175608,5.4173925235936951,0.0404693344185828,4.0571749025418269
AGO,0.0516596176693987,0.0259715576378436,3,0.7374495872175608,5.4194648100551319,0.0408232258913486,4.0608048350248422
AGO,0.0516596176693987,0.0259715576378436,4,0.7374495872175608,5.4239844002223760,0.0410213567665317,4.0687167887556113
AGO,0.0516596176693987,0.0259715576378436,5,0.7374495872175608,5.4278875251925554,0.0411712070827904,4.0755442606982379
AGO,0.0516596176693987,0.0259715576378436,6,0.7374495872175608,5.4312086537241422,0.0412976369127703,4.0813498208030259
AGO,0.0516596176693987,0.0259715576378436,7,0.7374495872175608,5.4340616461215374,0.0414067922834146,4.0863342128867428
AGO,0.0516596176693987,0.0259715576378436,8,0.7374495872175608,5.4365391746884821,0.0415020348007135,4.0906605189294298
AGO,0.0516596176693987,0.0259715576378436,9,0.7374495872175608,5.4387084239597803,0.0415857096162806,4.0944468834392351
AGO,0.0516596176693987,0.0259715576378436,10,0.7374495872175608,5.4406190574893687,0.0416595822672172,4.0977805906756108
AGO,0.0516596176693987,0.0259715576378436,11,0.7374495872175608,5.4423091333382043,0.0417250349156671,4.1007284892958582
AGO,0.0516596176693987,0.0259715576378436,12,0.7374495872175608,5.4438087930913301,0.0417831811821248,4.1033434900149954
AGO,0.0516596176693987,0.0259715576378436,13,0.7374495872175608,5.4451425610875255,0.0418349389903756,4.1056686152251523
AGO,0.0516596176693987,0.0259715576378436,14,0.7374495872175608,5.4463308233961456,0.0418810787869584,4.1077396042482368
AGO,0.0516596176693987,0.0259715576378436,15,0.7374495872175608,5.4473908137311478,0.0419222565757405,4.1095866503744602
AGO,0.0516596176693987,0.0259715576378436,16,0.7374495872175608,5.4483372935570262,0.0419590372623053,4.1112355993356555
AGO,0.0516596176693987,0.0259715576378436,17,0.7374495872175608,5.4491830364896297,0.0419919116310877,4.1127088030273082
AGO,0.0516596176693987,0.0259715576378436,18,0.7374495872175608,5.4499391837565563,0.0420213090278742,4.1140257460112988
AGO,0.0516596176693987,0.0259715576378436,19,0.7374495872175608,5.4506155123838074,0.0420476070751176,4.1152035181614348
